Day_of_Week,Light_Conditions,Sex_Of_Driver,Vehicle_Type,Speed_limit,Pedestrian_Crossing,Road_Type,Special_Conditions_at_Site,Number_of_Pasengers,Weather,Road_Surface,Driver_Age_Group,Vehicle_Age,Traffic_Density,Risk_Score,Is_Weekend,Night_Drive,Accident_Severity,Driver_Age,Driver_Experience,Seat_Belt,Alcohol_Level,Tyre_Condition,Braking_Distance,Vehicle_Load,Visibility,Time_Of_Day,Weather_Risk,Surface_Risk,Driver_Risk,Traffic_Risk,Total_Risk_Score,Speed_to_Risk,Visibility_to_Speed,Driver_Age_to_Exp,Final_Output
4,0,0,0,30,0,1,0,1,stormy,wet,0,1,2,6.6666665,1,0,0,30,7,1,0,1,63.03608035,1.143591067,96.24890764,evening,5,2,0,1,8,3.33,3.1,0.23,Major
2,1,0,0,20,0,1,0,5,clear,dry,0,14,6,17.142857,0,0,1,30,11,0,1,1,28.26984194,1.062675739,80.70039505,morning,1,1,7,3,12,1.54,3.84,0.35,Major
2,1,1,0,20,0,5,1,2,clear,wet,1,13,9,8.571428,0,0,0,37,16,1,0,1,29.15120138,1.152067315,40.20828238,evening,1,2,0,4.5,7.5,2.35,1.91,0.42,Major
4,1,0,1,20,0,3,1,3,clear,muddy,1,14,6,6.1538463,0,0,1,18,0,1,0,1,75.89092484,0.553696551,52.94629402,evening,1,3,0,3,7,2.5,2.52,0,Major
5,1,0,0,30,1,1,1,1,foggy,dry,0,5,1,5.4545455,0,0,1,18,0,0,0,1,62.20693935,1.431119206,92.91833585,afternoon,4,1,3,0.5,8.5,3.16,3,0,Major
6,0,0,0,30,0,1,0,5,rainy,dry,2,4,5,30,0,0,1,29,6,1,1,1,32.7736852,0.52096955,64.88883476,evening,3,1,4,2.5,10.5,2.61,2.09,0.2,Major
6,1,1,1,40,0,3,1,4,stormy,dry,0,3,4,40,0,0,1,24,2,1,0,1,58.02228917,0.508032496,64.90975984,afternoon,5,1,0,2,8,4.44,1.58,0.08,Major
5,1,1,0,20,1,4,0,4,clear,dry,0,7,6,14.285714,0,0,0,38,16,1,0,1,38.01278666,0.726153002,81.37897725,evening,1,1,0,3,5,3.33,3.88,0.41,Minor
6,1,0,0,20,1,5,0,1,rainy,dry,0,10,4,3.3333333,0,0,0,25,6,0,0,0,19.51935711,1.493495919,64.2600791,evening,3,1,5,2,11,1.67,3.06,0.23,Major
5,1,1,1,30,0,1,1,6,clear,dry,0,11,8,35,0,0,1,20,0,0,0,1,13.49624155,0.572532435,37.57073929,evening,1,1,3,4,9,3,1.21,0,Major
3,1,0,0,40,1,4,0,2,rainy,dry,1,1,8,10,0,0,1,49,27,0,0,1,44.67016746,1.374500174,61.51231339,afternoon,3,1,3,4,11,3.33,1.5,0.54,Major
1,1,0,0,40,0,2,1,3,clear,dry,0,6,7,32,0,0,0,32,12,0,0,1,68.41201735,0.65908907,71.92582679,afternoon,1,1,3,3.5,8.5,4.21,1.75,0.36,Major
2,1,0,0,30,1,6,0,3,rainy,icy,1,8,2,20,0,0,1,35,11,1,1,1,67.82082144,0.609103293,68.90366629,evening,3,5,4,1,13,2.14,2.22,0.31,Major
4,0,1,1,40,1,5,1,2,foggy,dry,2,2,8,10.909091,1,0,0,20,0,1,0,1,63.90217432,1.278970398,94.02241499,afternoon,4,1,0,4,9,4,2.29,0,Major
0,1,1,1,40,0,1,0,3,rainy,dry,0,6,2,14.545455,0,0,0,29,5,1,0,1,57.4501666,1.346678715,81.7741288,morning,3,1,0,1,5,6.67,1.99,0.17,Minor
1,0,0,1,40,1,5,0,1,foggy,dry,1,11,1,40,0,0,1,36,14,1,0,1,49.76046991,1.292182888,80.35804844,afternoon,4,1,0,0.5,5.5,6.15,1.96,0.38,Minor
3,1,0,0,40,1,4,1,5,rainy,dry,1,1,9,16,0,0,1,23,0,0,0,1,62.27946134,0.741028879,100,afternoon,3,1,3,4.5,11.5,3.2,2.44,0,Major
2,0,1,0,40,0,1,1,2,foggy,dry,1,13,5,60,0,0,1,38,14,1,0,0,14.83670471,1.379842726,48.79933121,morning,4,1,2,2.5,9.5,3.81,1.19,0.36,Major
6,0,0,0,20,1,6,1,5,rainy,dry,0,13,6,9.230769,0,0,1,28,10,1,0,1,59.84681878,0.571885432,100,morning,3,1,0,3,7,2.5,4.76,0.34,Major
0,0,0,1,30,1,6,0,2,clear,muddy,1,6,1,7.5,0,0,1,32,11,1,0,1,28.18492262,0.841977463,100,evening,1,3,0,0.5,4.5,5.45,3.23,0.33,Minor
6,0,0,1,30,0,1,1,2,clear,dry,0,6,1,30,0,0,1,28,5,0,0,1,31.30915421,0.963183126,77.68739143,evening,1,1,3,0.5,5.5,4.62,2.51,0.17,Minor
0,0,0,1,20,1,6,0,4,foggy,dry,0,5,8,8.333333,0,0,0,53,33,1,0,1,55.43778239,0.567735272,72.14388847,afternoon,4,1,0,4,9,2,3.44,0.61,Major
2,0,0,1,40,0,2,0,4,clear,wet,2,7,5,20,1,0,0,34,11,1,0,1,58.9309603,1.079843279,100,morning,1,2,0,2.5,5.5,6.15,2.44,0.31,Minor
2,1,0,0,30,0,5,1,3,clear,dry,2,14,2,15,0,0,1,24,4,1,0,1,35.85437362,1.059383017,74.72306454,evening,1,1,0,1,3,7.5,2.41,0.16,Minor
2,1,1,0,20,1,4,1,4,clear,dry,0,5,7,16.666666,0,0,1,43,20,0,0,1,54.69289441,1.492182575,87.06714545,evening,1,1,3,3.5,8.5,2.11,4.15,0.45,Major
0,1,1,1,40,0,6,1,4,rainy,icy,2,14,1,18.181818,1,0,1,22,0,1,0,1,53.44397902,1.121664003,85.56381913,night,3,5,0,0.5,8.5,4.21,2.09,0,Major
4,1,1,0,30,1,1,1,3,rainy,dry,1,8,4,10.909091,0,0,1,37,16,1,0,1,40.34029096,0.897545677,89.7830118,night,3,1,0,2,6,4.29,2.9,0.42,Minor
4,0,0,0,30,0,1,0,5,rainy,wet,1,2,1,60,1,0,1,18,0,0,1,1,47.30776291,1.290184848,58.00169953,evening,3,2,7,0.5,12.5,2.22,1.87,0,Major
6,0,1,1,40,1,1,1,6,rainy,wet,2,6,8,25.454546,1,0,0,21,1,1,0,1,76.21326072,0.834967004,88.7951898,night,3,2,0,4,9,4,2.17,0.05,Major
2,1,1,1,20,0,1,1,6,foggy,dry,0,5,5,9.333333,0,0,0,36,13,0,0,1,40.77647958,1.032868654,62.35731439,evening,4,1,3,2.5,10.5,1.74,2.97,0.35,Major
1,1,1,1,30,0,3,0,3,rainy,dry,0,10,2,12,0,0,1,42,21,1,0,1,41.29362015,0.555469607,68.02197515,night,3,1,0,1,5,5,2.19,0.49,Minor
4,0,1,1,40,1,2,0,6,foggy,dry,1,2,4,140,0,0,1,36,17,1,0,1,47.25010714,0.822665774,98.57054993,afternoon,4,1,0,2,7,5,2.4,0.46,Major
3,1,0,1,40,0,3,0,6,clear,dry,1,11,2,21.538462,0,0,1,33,10,0,0,1,42.25569906,1.028108015,69.93246183,night,1,1,3,1,6,5.71,1.71,0.29,Minor
2,1,1,0,40,0,5,1,6,clear,icy,1,13,8,140,0,0,1,31,10,1,1,1,56.85753597,1.202311894,67.24115909,morning,1,5,4,4,14,2.67,1.64,0.31,Major
5,1,1,0,20,1,4,0,4,rainy,dry,0,7,6,14.285714,0,0,0,20,2,0,0,1,67.03865939,0.59903279,84.07595929,morning,3,1,3,3,10,1.82,4,0.1,Major
1,0,1,1,30,1,3,1,6,clear,wet,1,4,9,19.09091,0,0,1,27,9,1,0,1,41.29996891,1.297186729,100,afternoon,1,2,0,4.5,7.5,3.53,3.23,0.32,Major
2,1,1,1,40,0,3,0,3,foggy,wet,1,6,6,11.428572,0,0,1,30,11,1,0,0,32.14822283,1.400158987,100,afternoon,4,2,2,3,11,3.33,2.44,0.35,Major
1,0,1,1,40,0,4,1,2,rainy,wet,1,5,2,13.333333,0,0,1,45,24,1,1,0,74.62361915,0.781037166,100,evening,3,2,6,1,12,3.08,2.44,0.52,Major
2,1,1,1,40,0,1.9840337,1,1,rainy,wet,2,4,3,10,0,0,1,38,20,1,0,1,46.79714214,1.265346581,100,evening,3,2,0,1.5,6.5,5.33,2.44,0.51,Minor
6,0,0,0,30,1,4,1,6,clear,muddy,1,13,2,23.333334,0,0,1,18,0,1,0,1,19.43208386,0.680348491,79.52208142,morning,1,3,0,1,5,5,2.57,0,Minor
5,0,1,0,20,1,2,1,5,rainy,dry,0,2,3,9.230769,0,0,1,38,15,1,0,1,72.93411192,1.023415872,100,morning,3,1,0,1.5,5.5,3.08,4.76,0.38,Minor
2,0,0,1,40,1,3,1,2,clear,muddy,1,13,3,10.909091,0,0,1,31,9,1,0,1,61.89281498,1.297635365,83.97247509,evening,1,3,0,1.5,5.5,6.15,2.05,0.28,Minor
2,1,0,0,30,0.43229967,5.4322996,0.5677003,3,clear,dry,2,13,9,40,0,0,1,28,7,0,0,1,69.02013784,0.886491686,79.28728862,evening,1,1,3,4.5,9.5,2.86,2.56,0.24,Major
1,0,0,1,30,1,3,1,2,foggy,dry,0,7,8,8.181818,0,0,1,41,22,0,0,1,66.51371286,0.526300252,87.65354271,evening,4,1,3,4,12,2.31,2.83,0.52,Major
0,1,0,0,30,1,3,1,4,clear,dry,1,5,5,37.5,0,0,1,45,24,1,0,1,84.67482093,1.039967375,85.28877485,evening,1,1,0,2.5,4.5,5.45,2.75,0.52,Minor
5,1,0,1,30,1,6,1,3,clear,wet,1,13,7,13.333333,0,0,0,44,24,1,0,1,29.44594946,1.344699873,53.72407534,morning,1,2,0,3.5,6.5,4,1.73,0.53,Minor
0,1,1,1,20,0,4,1,1,clear,wet,0,3,4,8,0,0,0,26,6,1,0,1,33.06527888,0.608327377,66.05698539,evening,1,2,0,2,5,3.33,3.15,0.22,Minor
6,1,1,1,20,0,5,1,1,clear,dry,2,6,8,4,0,0,1,31,13,0,0,1,37.6160448,0.529641402,87.61149891,afternoon,1,1,3,4,9,2,4.17,0.41,Major
4,1,0,1,20,1,1,1,6,clear,dry,2,8,5,10,1,0,1,38,18,1,0,1,37.1873069,1.309040776,64.21258347,afternoon,1,1,0,2.5,4.5,3.64,3.06,0.46,Minor
5,1,1,0,20,1,1,0,4,clear,dry,0,11,3,9.090909,0,0,1,44,25,1,0,1,46.84426773,0.767132579,92.95289865,afternoon,1,1,0,1.5,3.5,4.44,4.43,0.56,Minor
0,0,0,0,40,0,6,1,2,clear,dry,0,10,1,24,1,0,1,30,12,1,1,1,37.65151945,0.864343706,80.72124788,morning,1,1,4,0.5,6.5,5.33,1.97,0.39,Minor
4,0,0,0,20,0,5,1,5,rainy,dry,1,10,3,30,1,0,0,33,14,1,0,1,27.15674097,0.58698203,98.73481685,morning,3,1,0,1.5,5.5,3.08,4.7,0.41,Minor
0,1,0,1,20,1,4,0,4,stormy,dry,2,12,3,50,0,0,1,23,0,1,0,1,31.88343715,0.596618984,77.52518729,morning,5,1,0,1.5,7.5,2.35,3.69,0,Major
1,1,0,0,40,1,5,0,1,clear,dry,0,2,5,8.888889,0,0,1,23,4,1,0,1,40.59370373,1.114543357,89.63406224,afternoon,1,1,0,2.5,4.5,7.27,2.19,0.17,Minor
2,0,1,1,20,1,5,0,6,clear,wet,2,11,5,10.769231,0,0,0,43,23,1,0,1,62.16450676,1.052229649,43.76498578,afternoon,1,2,0,2.5,5.5,3.08,2.08,0.52,Minor
3,0,1,0,30,1,3,1,1,clear,wet,1,10,7,15,1,0,1,48,25,1,0,1,36.37034711,0.792401776,47.81207685,night,1,2,0,3.5,6.5,4,1.54,0.51,Minor
4,0,0,1,20,1,6,1,6,clear,dry,1,12,3,20,1,0,0,34,14,0,0,1,57.14951729,0.952737556,63.9337879,night,1,1,3,1.5,6.5,2.67,3.04,0.4,Minor
5,0,1,0,20,1,2,1,5,clear,muddy,0,4,8,9.230769,0,0,1,45,26,1,0,1,25.18081614,0.888197764,86.21828041,morning,1,3,0,4,8,2.22,4.11,0.57,Major
5,0,0,1,20,0,5,1,2,clear,dry,2,3,2,4,0,0,1,38,18,1,0,0,10,1.195052916,64.37585226,afternoon,1,1,2,1,5,3.33,3.07,0.46,Minor
5,1,0,0,40,1,2,0,6,clear,wet,1,7,9,93.333336,0,0,0,28,8,1,0,1,43.00237354,1.362089025,94.55997277,night,1,2,0,4.5,7.5,4.71,2.31,0.28,Major
0,0,0,0,40,0,4,0,2,clear,dry,1,10,2,8.571428,0,0,0,38,18,0,0,1,35.84986903,1.265102419,87.73471471,afternoon,1,1,3,1,6,5.71,2.14,0.46,Minor
6,1,1,0,40,0,6,0,1,rainy,wet,1,8,6,16,0,0,1,50,29,0,0,0,31.77394204,0.50440765,70.82462494,night,3,2,5,3,13,2.86,1.73,0.57,Major
0,1,0,1,20,0,3,0,6,clear,wet,2,8,8,15.555555,0,0,1,34,11,1,0,1,30.01724593,0.599553461,84.47716996,morning,1,2,0,4,7,2.5,4.02,0.31,Major
4,1,1,1,30,0,6,0,3,clear,wet,2,14,2,30,0,0,0,50,27,1,0,1,34.38727279,0.92937678,71.11936931,evening,1,2,0,1,4,6,2.29,0.53,Minor
1,1,1,1,40,1,2,1,3,foggy,wet,1,4,1,11.428572,0,0,1,18,0,1,0,1,30.18975103,1.351798856,86.3021006,evening,4,2,0,0.5,6.5,5.33,2.1,0,Minor
4,0,0,0,20,1,1,1,6,rainy,dry,0,10,6,28,1,0,1,43,20,1,1,1,31.54895928,0.736974188,69.79169807,morning,3,1,4,3,11,1.67,3.32,0.45,Major
4,0,0,1,40,0,3,0,2,clear,dry,2,2,5,13.333333,0,0,1,35,11,1,0,1,24.61728973,1.378952087,87.92980417,night,1,1,0,2.5,4.5,7.27,2.14,0.31,Minor
2,1,1,0,30,1,5,0,1,clear,wet,0,6,4,30,0,0,0,32,13,0,0,0,13.05899053,0.610013659,100,evening,1,2,5,2,10,2.73,3.23,0.39,Major
4,1,0,0,20,0,2,0,3,clear,wet,1,3,8,26.666666,0,0,1,35,11,1,1,1,11.85888768,0.572607124,55.28292696,morning,1,2,4,4,11,1.67,2.63,0.31,Major
5,1,1,0,40,0,4,0,3,foggy,dry,0,8,6,14.545455,0,0,1,18,0,1,0,1,81.91633698,1.413419697,66.11358326,morning,4,1,0,3,8,4.44,1.61,0,Major
1,1,0,1,20,1,1,1,6,stormy,dry,0,3,5,28,1,0,0,32,10,1,0,1,44.05129813,0.661976926,66.94175241,afternoon,5,1,0,2.5,8.5,2.11,3.19,0.3,Major
1,0,0,0,30,1,4,1,1,clear,wet,2,2,5,6.6666665,0,0,0,38,19,1,0,1,67.86813669,0.963775582,86.22280303,night,1,2,0,2.5,5.5,4.62,2.78,0.49,Minor
1,1,0,1,40,0,6,0,2,clear,icy,2,13,7,8,1,0,0,49,26,1,0,0,42.33613307,0.825957044,96.75315565,evening,1,5,2,3.5,11.5,3.2,2.36,0.52,Major
5,1,0,1,30,1,3,0,1,foggy,dry,2,13,8,20,0,0,0,29,11,1,0,1,42.83585162,0.647636435,45.209022,evening,4,1,0,4,9,3,1.46,0.37,Major
3,0,1,0,20,1,1,1,6,clear,dry,0,9,2,15.555555,0,0,1,26,6,1,0,1,49.60005936,1.132111015,76.33068281,afternoon,1,1,0,1,3,5,3.63,0.22,Minor
4,0,1,1,20,0,3,1,5,clear,dry,0,9,8,40,0,0,0,29,9,1,0,0,54.60105972,1.463672714,80.5647837,evening,1,1,2,4,8,2.22,3.84,0.3,Major
1,1,0,1,40,1,2,1,2,clear,wet,1,9,4,10.909091,0,0,1,44,22,1,1,1,26.29995821,1.158109447,97.6383104,afternoon,1,2,4,2,9,4,2.38,0.49,Major
0,0,1,1,30,1,1,0,3,rainy,dry,0,3,7,13.333333,0,0,1,38,20,0,0,0,39.30337729,0.853698683,62.08341075,night,3,1,5,3.5,12.5,2.22,2,0.51,Major
3,0,0,1,20,1,1,0,6,clear,dry,0,2,1,20,0,0,1,29,8,1,0,0,49.57172642,1.211796956,94.59602123,afternoon,1,1,2,0.5,4.5,3.64,4.5,0.27,Minor
6,0,1,1,20,0.76910615,4,1,6,clear,dry,2,14,5,15.555555,0,0,1,40,16,0,0,0,15.99711391,0.643248155,85.86002262,night,1,1,5,2.5,9.5,1.9,4.09,0.39,Major
5,0,0,1,20,0,6,1,4,rainy,wet,0,14,1,7.6923075,0,0,0,35,16,0,0,1,64.46007481,1.080016311,100,morning,3,2,3,0.5,8.5,2.11,4.76,0.44,Major
5,0,1,1,20,1,6,1,3,rainy,dry,2,4,6,6.6666665,0,0,1,44,23,0,0,1,60.94136127,0.969457446,100,evening,3,1,3,3,10,1.82,4.76,0.51,Major
2,0,0.272728,0.727272,40,0.727272,1,1,2.727272,stormy,dry,0,2,8,9.939392,1,0,1,27,9,1,0,0,13.47335429,0.859983571,95.91662842,evening,5,1,2,4,12,3.08,2.34,0.32,Major
6,1,0,1,20,0,1,0,3,clear,muddy,1,8,5,26.666666,0,0,0,31,9,1,0,1,31.81499287,1.239567302,74.79131103,afternoon,1,3,0,2.5,6.5,2.67,3.56,0.28,Minor
2,1,0,0,20,1,6,1,3,foggy,icy,0,10,4,7.2727275,0,0,0,31,13,1,0,1,46.57274612,0.618487145,89.81347893,morning,4,5,0,2,11,1.67,4.28,0.41,Major
0,0,0,1,40,1,3,1,2,clear,wet,2,1,9,8,0,0,0,20,0,0,0,1,57.62763465,1.032790475,91.62985251,morning,1,2,3,4.5,10.5,3.48,2.23,0,Major
3,1,0,0,40,1,4,0,2,clear,dry,1,2,3,10,1,0,1,37,16,0,0,0,67.89190794,1.354397327,90.53435459,afternoon,1,1,5,1.5,8.5,4.21,2.21,0.42,Major
5,1,0,1,20,1,2,1,3,clear,dry,1,6,5,20,0,0,1,37,16,1,1,1,35.4398794,0.701710156,88.40739134,morning,1,1,4,2.5,8.5,2.11,4.21,0.42,Major
1,0,1,0,40,1,2,0,4,clear,dry,1,9,4,13.333333,0,0,0,35,17,0,0,1,80.07256014,0.764541242,90.6827038,morning,1,1,3,2,7,5,2.21,0.47,Major
2,0,1,0,20,1,3.6099966,1,4.390003,foggy,dry,1,10,5,8.292313,0,0,1,32,14,1,1,1,44.26861013,1.160671793,100,night,4,1,4,2.5,11.5,1.6,4.76,0.42,Major
4,0,0,0,20,0,6,0,2,clear,dry,0,12,6,4.285714,0,0,0,20,0,1,0,0,41.63808147,1.272586958,100,evening,1,1,2,3,7,2.5,4.76,0,Major
4,0,1,1,20,0,3,0,6,foggy,dry,0,5,3,70,1,0,0,30,10,1,0,1,53.42587131,0.783335601,43.81305781,morning,4,1,0,1.5,6.5,2.67,2.09,0.32,Minor
0,1,1,0,30,1,4,0,3,rainy,wet,0,5,2,24,0,0,0,31,9,1,0,1,49.66185775,0.859898009,100,afternoon,3,2,0,1,6,4.29,3.23,0.28,Minor
6,1,1,0,40,1,3,1,6,clear,wet,1,3,8,70,0,0,0,26,6,0,0,1,48.82325812,1.239912483,82.83163285,morning,1,2,3,4,10,3.64,2.02,0.22,Major
5,0,1,1,20,1,6,1,4,clear,dry,0,8,5,7.6923075,1,0,1,33,14,1,0,1,74.94241712,0.785323665,64.20301913,morning,1,1,0,2.5,4.5,3.64,3.06,0.41,Minor
1,1,0,0,30,0,2,0,2,clear,dry,1,12,1,12.857142,1,0,1,39,20,1,0,1,48.71055913,1.166247505,52.98406825,morning,1,1,0,0.5,2.5,8.57,1.71,0.5,Minor
0,0,0,0,20,0,3,0,3,rainy,wet,2,6,4,5.3333335,0,0,0,53,35,1,0,0,30.2358858,0.658834751,86.11022855,evening,3,2,2,2,9,2,4.1,0.65,Major
5,0,0,0,30,1,4.8266354,0.17336465,6,rainy,dry,2,10,5,17.5,0,0,1,36,15,0,0,1,32.40367672,0.911310459,80.72039674,morning,3,1,3,2.5,9.5,2.86,2.6,0.41,Major
5,1,0,0,40,1,2,1,4,clear,dry,1,12,6,18.181818,0,0,0,37,18,1,0,1,67.08937023,1.18867721,58.42571483,night,1,1,0,3,5,6.67,1.43,0.47,Minor
3,1,0,1,40,1,1,0,5,clear,dry,2,2,5,26.666666,0,0,1,34,15,1,1,1,55.25743731,0.959904556,79.386305,morning,1,1,4,2.5,8.5,4.21,1.94,0.43,Major
4,0,1,0,20,0,6,1,2,clear,dry,1,12,5,4.285714,0,0,1,18,0,0,0,0,21.65476558,0.519237348,100,night,1,1,5,2.5,9.5,1.9,4.76,0,Major
5,0,1,1,20,1,6,1,3,rainy,wet,2,12,9,6.6666665,0,0,1,34,14,1,0,1,20.91712155,0.906380357,100,evening,3,2,0,4.5,9.5,1.9,4.76,0.4,Major
0,1,0,1,20,0,6,1,6,clear,wet,2,5,9,20,1,0,0,35,11,0,0,1,45.37581827,0.788335291,82.5482338,night,1,2,3,4.5,10.5,1.74,3.93,0.31,Major
6,0,1,1,20,0,4,1,1,foggy,dry,2,4,6,2.857143,0,0,0,59,35,1,0,1,54.24732562,0.601282183,82.48872223,night,4,1,0,3,8,2.22,3.93,0.58,Major
6,0,1,1,40,0,3.6734593,1,3.3265407,clear,wet,1,11,4,13.312433,0,0,1,33,14,1,0,1,34.82928535,0.509138012,92.45788106,afternoon,1,2,0,2,5,6.67,2.26,0.41,Minor
0,1,0,1,40,1,3,0,6,rainy,dry,0,10,9,21.538462,0,0,1,38,20,1,0,1,19.79744626,0.545515402,100,night,3,1,0,4.5,8.5,4.21,2.44,0.51,Major
0,0,0,1,20,1,2,0,6,clear,dry,2,9,8,20,1,0,1,34,14,1,0,0,28.12242398,1.449247658,83.66981913,night,1,1,2,4,8,2.22,3.98,0.4,Major
4,1,0,1,30,1,4,1,4,clear,wet,1,4,7,50,0,0,1,23,4,1,1,1,69.68626646,1.249819208,87.0053289,afternoon,1,2,4,3.5,10.5,2.61,2.81,0.17,Major
2,1,0,1,40,0,6,1,5,clear,wet,1,8,5,40,0,0,1,46,25,1,0,1,52.45455018,1.439741713,72.01517899,afternoon,1,2,0,2.5,5.5,6.15,1.76,0.53,Minor
6,0,0,1,40,0,4,1,2,rainy,dry,2,1,2,20,1,0,0,42,22,1,0,1,60.00123095,0.614783897,76.84581081,evening,3,1,0,1,5,6.67,1.87,0.51,Minor
4,0,0,0,30,1,2,0,5,clear,dry,1,5,2,12,0,0,1,42,23,0,0,1,62.47489976,1.070509717,67.28116152,afternoon,1,1,3,1,6,4.29,2.17,0.53,Minor
3,1,0,1,30,0,4,1,6,clear,dry,2,9,1,70,1,0,1,25,1,1,0,1,35.60990688,0.583288565,59.30711481,night,1,1,0,0.5,2.5,8.57,1.91,0.04,Minor
4,1,0,0,40,0,6,1,3,clear,dry,1,3,2,22.857143,0,0,0,49,27,1,0,1,39.404475,0.526806391,55.9012726,morning,1,1,0,1,3,10,1.36,0.54,Minor
5,1,1,1,30,1,3,1,5,clear,dry,1,11,5,13.846154,1,0,1,20,0,1,1,0,42.47991922,0.966281144,62.75765951,night,1,1,6,2.5,10.5,2.61,2.02,0,Major
1,0,0,0,30,1,4,1,1,foggy,dry,2,13,7,6.6666665,0,0,1,40,18,1,1,1,51.25027254,1.146343547,61.38092675,night,4,1,4,3.5,12.5,2.22,1.98,0.44,Major
2,1,1,0,20,0,1,1,2,clear,wet,1,6,6,4.6153846,0,0,1,56,36,1,1,1,61.34257265,0.563562361,85.97475968,night,1,2,4,3,10,1.82,4.09,0.63,Major
6,0,0,0,20,1,1,0,2,stormy,wet,2,11,1,12,1,0,1,25,5,1,1,1,73.04822179,0.865059717,88.9593007,evening,5,2,4,0.5,11.5,1.6,4.24,0.19,Major
5,1,1,0,20,0,4,0,5,clear,dry,0,10,9,9.230769,1,0,1,29,5,1,1,0,57.21453255,0.590167002,71.58815717,morning,1,1,6,4.5,12.5,1.48,3.41,0.17,Major
4,1,0,1,30,1,4,1,4,foggy,dry,1,6,9,50,0,0,1,35,12,1,1,1,57.32378763,0.862103642,63.21812708,evening,4,1,4,4.5,13.5,2.07,2.04,0.33,Major
0,0,1,0,30,0,3,0,5,clear,wet,2,11,5,60,1,0,1,29,6,1,0,1,73.8994633,0.971795698,100,evening,1,2,0,2.5,5.5,4.62,3.23,0.2,Minor
4,0,0,1,20,0,6,0,3,clear,wet,0,6,5,16,0,0,1,19,0,1,0,1,41.92411856,0.837531385,71.17934872,morning,1,2,0,2.5,5.5,3.08,3.39,0,Minor
2,0,0,1,30,0,5,0,3,clear,dry,2,4,4,12,0,0,1,35,17,0,0,1,62.83504449,1.076249024,68.13475492,afternoon,1,1,3,2,7,3.75,2.2,0.47,Major
6,1,0,1,20,0,1,0,3,rainy,wet,1,7,5,26.666666,0,0,0,24,5,0,0,1,53.67423765,1.084590056,48.53991151,morning,3,2,3,2.5,10.5,1.74,2.31,0.2,Major
2,1,0,0,20,0,3,1,1,foggy,muddy,2,3,9,6.6666665,0,0,1,39,21,1,0,1,54.22428076,0.832935333,90.34025646,night,4,3,0,4.5,11.5,1.6,4.3,0.52,Major
2,0,0,0,40,0,4,0,4,clear,dry,0,6,6,15.384615,1,0,0,25,7,0,0,1,41.78208114,0.889598416,100,afternoon,1,1,3,3,8,4.44,2.44,0.27,Major
3,1,0,1,30,0,2,1,2,rainy,wet,0,10,2,6,0,0,1,50,27,1,0,0,24.08651088,0.941065618,76.26663671,night,3,2,2,1,8,3.33,2.46,0.53,Major
